hnid,school,field_of_study,year
Arosha,Monash University,Bachelor Of Business Systems,2004
Arosha,Tilburg University,Marketing,2003
Arosha,Y Combinator,W22,2022
ArpanRau,Franklin W. Olin College of Engineering,Robotics Engineering,2019
ArshDilbagi,Princeton University,Operations Research And Financial Engineering,2021
ArshDilbagi,University College London,Mathematics And Statistics,2020
Arthus_DSC,CentraleSupelec,Applied Mathematics,2015
Arthus_DSC,Stanford University,Management Science And Engineering,2016
Arturdpay,Universidade do Vale do Itajaí,"Business Administration And Management, General",2012
Ash_p,"Birla Institute of Technology and Science, Pilani",Manufacturing Engineering,2019
Ashi24,Syracuse University,"Aerospace, Aeronautical And Astronautical/space Engineering",2016
Ashi24,University of Ottawa / Université d'Ottawa,Mechanical Engineering,2021
Ashmandavia,Imperial College London,Medicine With Management,2012
Ashmandavia,University of Bristol,Medicine,2015
Ashwarya,Motilal Nehru National Institute Of Technology,Electronics And Communications Engineering,2012
Assafgeuz,University of Haifa,Bachelor Of Arts,2014
Asseta,Villanova University,"Finance, General",2010
Astar9,Massachusetts Institute of Technology,"Computer Science, Conc Artificial Intelligence",2019
Astar9,Massachusetts Institute of Technology,Electrical Engineering And Computer Science,2018
Atlas,Duke University,"Entrepreneurship, Venture Capital And Real Estate",2008
Atlas,Indian School of Business,Business Exchange Program,2009
Atlas,"University of California, Davis",Electrical Engineering,1998
Atsu,日本大学 / Nihon University,Law,2005
AtyabBhatti,University of Illinois Urbana-Champaign,Mechanical Engineering,2019
Avalente11,Harvard Business School,Entrepreneurship,2019
Avalente11,Northwestern University,Economics,2011
Avhijeet,ESCP Europe,Management,2017
Avhijeet,IIM Lucknow,Business Management,2017
Avhijeet,IIT Delhi,Bioengineering,2012
AviStoller,University of Winnipeg,Biochemistry,2017
Avicennes,Parahyangan Catholic University,Political Science And International Relations,2012
Avicennes,University of Cambridge,Strategy And Marketing,2016
AvijitFP,IIT Delhi,Mechanical Engineering,2007
Avinashanand122,NIT Trichy,Production Engineering,2012
AvneetG,"Faculty of Medicine, University of Toronto",Medicine,2022
AvneetG,University of Toronto,Biochemistry And Environmental Science,2018
AxelR,West Virginia University,Mechanical Engineering,2004
Ayoolamecho,Federal University of Technology Akure,Automobile/automotive Mechanics Technology/technician,2016
Ayoolamecho,government technical college ikotun,Automobile/automotive Mechanics Technology/technician,2014
Azizian,Massachusetts Institute of Technology,Nuclear Engineering,2012
Azizian,University of Newcastle,Chemical Engineering,2013
BL75,CentraleSupélec,Mastère Spécialisé En Technologie And Management,2016
BL75,ESCP Europe,"Master In Management, Programme Grande Ecole",2015
BW1ARC,Georgetown University,Computer/information Technology Administration And Management,2019
Baddth,Kasetsart University,Computer Engineering,2008
Banzai10,FGV - Fundação Getulio Vargas,"Business Administration And Management, General",2014
Banzai10,Pontifícia Universidade Católica do Rio Grande do Sul,Computer Science,2010
Barsi,Universidad del Caribe Cancun,Sustainable Tourism And Hotel Management,2012
BasouKazuma,City College of San Francisco,Computer Science,2016
BasouKazuma,Norwalk Community College,Computer Science,2007
BasouKazuma,Southern Connecticut State University,Computer Science,2006
Bedewitz,Michigan State University,Horticulture Science,2013
Bedewitz,Michigan State University,"Plant Breeding, Genetics, And Biotechnology",2021
Ben-G,Baden-Wuerttemberg Cooperative State University (DHBW),Applied Computer Science,2011
Ben_Sadeghi,San Jose State University,Computational Physics,2006
Ben_Sadeghi,"University of California, Santa Barbara",Physics,2003
Benaas2,Panevėžys Gymnasium 5,History,2016
Benaas2,Vilniaus universitetas / Vilnius University,International Relations And Politics,2020
Benclaman,Massachusetts Institute of Technology,Mechanical Engineering,2017
BenjaminN,Concordia University,Artificial Intelligence,2011
BenjaminN,EPITECH,Software Engineering,2012
BenjaminTodd,Beijing Language and Culture University,Intermediate Chinese Language,2009
BenjaminTodd,University of Oxford,Physics And Philosophy,2012
BenjieGillam,University of Southampton,"Mathematics, Physics",2007
Bgarcia,MIT Sloan School of Management,Master Of Business Administration,2018
Bgarcia,Tecnológico de Monterrey,Masters In Finance,2015
Bgarcia,University of Southern California,Ba In Economics And Bs Business Administration,2012
Bgarcia,Y Combinator,Ycw20,2020
Bhagaban,IIT Kharagpur,Engineering,2008
Biancajcp,UNITRI - Centro Universitário do Triângulo,Law,2018
Biancajcp,Udacity,Digital Marketing,2018
Biancajcp,Universidade Federal de Uberlândia,Administração De Empresas,2018
Bikanta,Georgia Institute of Technology,"Biomedical Engineering, Economics",2005
Bikanta,University of Oxford,Medical Engineering,2008
Bisen,Harvard University,Public Policy,2019
Bisen,"University of Technology, Sydney",Business,2008
BiteSchool,The University of British Columbia,Bachelor Of Commerce,2016
Blanca0110,EUDE Business School,"Business Administration And Management, General",2015
Blendi,University of Cambridge,Information And Computer Engineering,2024
Bnew93,Duquesne University,Finance And Economics,2016
BobTheEngineer,Brigham Young University,Electrical Engineering,2021
Bobby_Liu,Wuhan University,Geographic Information Science,2010
Booktrope,Rutgers University,Law,1978
Booktrope,Yale University,English,1970
Boulet,Conservatoire National des Arts et Métiers,Informatique,2016
Boulet,"Iut Montreuil, Université Paris8",Informatique,2013
Boulet,Lycée André Boulloche,Spécialités Mathématique,2011
Boyd_Chr,Harvard University,"Economics, Secondary In Computer Science, Citation In Mandarin",2019
Bradosaur,Massachusetts Institute of Technology,Mechanical Engineering,2008
BrendanQuinn,Cornell University,Computer Science,2017
